County	Sample size	%	SE	(95% CI)
Caddo Parish, Louisiana	294	63.3	3.6	(56.2-70.3)
East Baton Rouge Parish, Louisiana	450	68.1	2.7	(62.8-73.3)
Jefferson Parish, Louisiana	395	61.6	2.9	(55.9-67.2)
Orleans Parish, Louisiana	248	63.7	3.7	(56.4-70.9)
St. Tammany Parish, Louisiana	228	76	3.2	(69.7-82.2)
Androscoggin County, Maine	317	71.7	3.1	(65.6-77.7)
Cumberland County, Maine	934	75.4	1.8	(71.8-78.9)
Kennebec County, Maine	438	77.1	2.2	(72.7-81.4)
Penobscot County, Maine	452	73.1	2.3	(68.5-77.6)
Sagadahoc County, Maine	200	77.4	3.4	(70.7-84.0)
York County, Maine	620	78.2	1.9	(74.4-81.9)
Anne Arundel County, Maryland	359	73	2.9	(67.3-78.6)
Baltimore County, Maryland	646	72.2	2.1	(68.0-76.3)
Cecil County, Maryland	159	62.3	4.4	(53.6-70.9)
Charles County, Maryland	172	79	3.5	(72.1-85.8)
Frederick County, Maryland	315	70.1	3	(64.2-75.9)
Harford County, Maryland	161	66.7	4.3	(58.2-75.1)
Howard County, Maryland	179	80.6	3.1	(74.5-86.6)
Montgomery County, Maryland	617	76.8	2	(72.8-80.7)
Prince George´s County, Maryland	424	77	2.4	(72.2-81.7)
Queen Anne´s County, Maryland	188	75.2	3.6	(68.1-82.2)
Washington County, Maryland	267	67.4	3.5	(60.5-74.2)
Baltimore city, Maryland	321	66.2	3.4	(59.5-72.8)
Bristol County, Massachusetts	1,705	72.9	2.1	(68.7-77.0)
Essex County, Massachusetts	1,204	74.8	2.1	(70.6-78.9)
Hampden County, Massachusetts	968	74.4	2.1	(70.2-78.5)
Hampshire County, Massachusetts	176	76.2	3.5	(69.3-83.0)
Middlesex County, Massachusetts	1,617	76.5	1.5	(73.5-79.4)
Norfolk County, Massachusetts	506	79.6	2.1	(75.4-83.7)
Plymouth County, Massachusetts	415	75.7	2.7	(70.4-80.9)
Suffolk County, Massachusetts	958	77.2	1.8	(73.6-80.7)
Worcester County, Massachusetts	1,207	76.2	1.7	(72.8-79.5)
Kent County, Michigan	294	76.3	3.5	(69.4-83.1)
Macomb County, Michigan	343	70.7	2.9	(65.0-76.3)
Oakland County, Michigan	664	76	2.1	(71.8-80.1)
Wayne County, Michigan	1,314	68.2	2	(64.2-72.1)
Anoka County, Minnesota	201	72.8	4.2	(64.5-81.0)
Dakota County, Minnesota	298	74.2	3.4	(67.5-80.8)
Hennepin County, Minnesota	1,176	75.4	2.1	(71.2-79.5)
Ramsey County, Minnesota	564	75.7	3.1	(69.6-81.7)
Washington County, Minnesota	127	78.4	4.3	(69.9-86.8)
DeSoto County, Mississippi	257	68.7	4.2	(60.4-76.9)
Hinds County, Mississippi	222	62.9	4.3	(54.4-71.3)
Jackson County, Missouri	342	66.9	3.1	(60.8-72.9)
St. Louis County, Missouri	383	71.4	3.3	(64.9-77.8)
St. Louis city, Missouri	390	62.3	4.1	(54.2-70.3)
Flathead County, Montana	467	61.3	2.7	(56.0-66.5)
Lewis and Clark County, Montana	384	66.6	2.8	(61.1-72.0)
Yellowstone County, Montana	344	65.6	3.1	(59.5-71.6)
Adams County, Nebraska	330	57.3	3.1	(51.2-63.3)
Dakota County, Nebraska	455	55.1	2.8	(49.6-60.5)
Douglas County, Nebraska	583	66.8	2.3	(62.2-71.3)
Hall County, Nebraska	406	61.4	2.7	(56.1-66.6)
Lancaster County, Nebraska	552	67.7	2.4	(62.9-72.4)
Lincoln County, Nebraska	397	66.5	2.8	(61.0-71.9)
Madison County, Nebraska	330	60.2	3.1	(54.1-66.2)
Sarpy County, Nebraska	331	74.9	3.2	(68.6-81.1)
Scotts Bluff County, Nebraska	559	52.7	2.7	(47.4-57.9)
Seward County, Nebraska	205	53	4	(45.1-60.8)
Clark County, Nevada	741	60.5	2.2	(56.1-64.8)
Washoe County, Nevada	815	69.8	1.9	(66.0-73.5)
Grafton County, New Hampshire	339	77.1	2.6	(72.0-82.1)
Hillsborough County, New Hampshire	881	75.1	1.7	(71.7-78.4)
Merrimack County, New Hampshire	431	76.8	2.3	(72.2-81.3)
Rockingham County, New Hampshire	645	78.3	1.9	(74.5-82.0)
Strafford County, New Hampshire	373	72	2.8	(66.5-77.4)
Atlantic County, New Jersey	571	61.9	2.5	(57.0-66.8)
Bergen County, New Jersey	354	67.8	3.1	(61.7-73.8)
Burlington County, New Jersey	340	71.1	2.8	(65.6-76.5)
Camden County, New Jersey	362	68.8	2.9	(63.1-74.4)
Cape May County, New Jersey	371	66.9	2.7	(61.6-72.1)
Essex County, New Jersey	530	67.8	2.5	(62.9-72.7)
Gloucester County, New Jersey	305	66.3	3.3	(59.8-72.7)
Hudson County, New Jersey	521	58.2	2.8	(52.7-63.6)
Hunterdon County, New Jersey	304	73.5	3	(67.6-79.3)
Mercer County, New Jersey	297	69.1	3.1	(63.0-75.1)
Middlesex County, New Jersey	343	70.5	3	(64.6-76.3)
Monmouth County, New Jersey	335	63.1	3.1	(57.0-69.1)
Morris County, New Jersey	403	63.8	2.9	(58.1-69.4)
Ocean County, New Jersey	354	67.4	3	(61.5-73.2)
Passaic County, New Jersey	275	47.8	3.6	(40.7-54.8)
Somerset County, New Jersey	287	74.3	3.1	(68.2-80.3)
Sussex County, New Jersey	302	59.2	3.4	(52.5-65.8)
Union County, New Jersey	280	66.6	3.4	(59.9-73.2)
Warren County, New Jersey	303	64.7	3.1	(58.6-70.7)
Bernalillo County, New Mexico	819	66.2	1.9	(62.4-69.9)
Dona Ana County, New Mexico	335	60.7	3.1	(54.6-66.7)
Sandoval County, New Mexico	338	67.7	3.4	(61.0-74.3)
San Juan County, New Mexico	440	57.5	2.9	(51.8-63.1)
Santa Fe County, New Mexico	445	68.4	2.7	(63.1-73.6)
Valencia County, New Mexico	234	61.6	4	(53.7-69.4)
Bronx County, New York	228	65.6	3.8	(58.1-73.0)
Erie County, New York	338	73.9	2.7	(68.6-79.1)
Kings County, New York	480	66.2	2.9	(60.5-71.8)
Monroe County, New York	268	73.5	3.5	(66.6-80.3)
Nassau County, New York	309	65.5	3.5	(58.6-72.3)
New York County, New York	669	75.6	2.3	(71.0-80.1)
Queens County, New York	452	69.9	2.7	(64.6-75.1)
Suffolk County, New York	365	67.6	3	(61.7-73.4)
Westchester County, New York	221	80.4	3	(74.5-86.2)
Buncombe County, North Carolina	186	64.6	4.5	(55.7-73.4)
Cabarrus County, North Carolina	186	70.4	4.2	(62.1-78.6)
Catawba County, North Carolina	205	62.9	3.8	(55.4-70.3)
Durham County, North Carolina	362	75.2	2.8	(69.7-80.6)
Gaston County, North Carolina	178	67.9	4.1	(59.8-75.9)
Guilford County, North Carolina	464	73.4	2.4	(68.6-78.1)
Johnston County, North Carolina	159	70.2	3.8	(62.7-77.6)
Mecklenburg County, North Carolina	351	77.2	2.9	(71.5-82.8)
Orange County, North Carolina	173	66	4.1	(57.9-74.0)
Randolph County, North Carolina	276	70.7	3.2	(64.4-76.9)
Union County, North Carolina	214	63.4	4.2	(55.1-71.6)
Wake County, North Carolina	383	74.2	3.2	(67.9-80.4)
Burleigh County, North Dakota	362	65.4	2.8	(59.9-70.8)
Cass County, North Dakota	490	74	2.2	(69.6-78.3)
Ward County, North Dakota	284	62.4	3.3	(55.9-68.8)
Cuyahoga County, Ohio	466	62.3	2.7	(57.0-67.5)
Franklin County, Ohio	397	66.2	2.7	(60.9-71.4)
Hamilton County, Ohio	461	66.5	2.7	(61.2-71.7)
Lucas County, Ohio	474	63.7	2.7	(58.4-68.9)
Mahoning County, Ohio	519	58.5	2.6	(53.4-63.5)
Montgomery County, Ohio	495	73.3	2.3	(68.7-77.8)
Stark County, Ohio	489	66.5	2.5	(61.6-71.4)
Summit County, Ohio	473	64	2.6	(58.9-69.0)
Cleveland County, Oklahoma	260	61	3.5	(54.1-67.8)
Oklahoma County, Oklahoma	898	64.6	1.9	(60.8-68.3)
Tulsa County, Oklahoma	947	57.2	2	(53.2-61.1)
Clackamas County, Oregon	313	68.8	3.1	(62.7-74.8)
Lane County, Oregon	367	64.3	2.9	(58.6-69.9)
Multnomah County, Oregon	512	70.6	2.4	(65.8-75.3)
Washington County, Oregon	361	67.3	2.9	(61.6-72.9)
Allegheny County, Pennsylvania	931	67.1	1.8	(63.5-70.6)
Lehigh County, Pennsylvania	172	71.3	4.1	(63.2-79.3)
Luzerne County, Pennsylvania	223	61.5	3.8	(54.0-68.9)
Montgomery County, Pennsylvania	214	70.3	3.7	(63.0-77.5)
Northampton County, Pennsylvania	165	66.5	4.5	(57.6-75.3)
Philadelphia County, Pennsylvania	882	69	1.9	(65.2-72.7)
Westmoreland County, Pennsylvania	228	65.9	3.9	(58.2-73.5)
Bristol County, Rhode Island	189	79.8	3.3	(73.3-86.2)
Kent County, Rhode Island	603	73.9	2.1	(69.7-78.0)
Newport County, Rhode Island	326	74.6	2.9	(68.9-80.2)
Providence County, Rhode Island	2,606	72.1	1.1	(69.9-74.2)
Washington County, Rhode Island	498	82.5	2	(78.5-86.4)
Aiken County, South Carolina	329	66	3.2	(59.7-72.2)
Beaufort County, South Carolina	504	72.7	2.5	(67.8-77.6)
Berkeley County, South Carolina	237	NA	NA	NA
Charleston County, South Carolina	460	78.4	2.7	(73.1-83.6)
Greenville County, South Carolina	359	73	3.4	(66.3-79.6)
Horry County, South Carolina	390	66.1	2.8	(60.6-71.5)
Richland County, South Carolina	409	75	3.3	(68.5-81.4)
Minnehaha County, South Dakota	392	74.9	2.4	(70.1-79.6)
Pennington County, South Dakota	444	71.8	2.4	(67.0-76.5)
Davidson County, Tennessee	268	60.3	4.2	(52.0-68.5)
Hamilton County, Tennessee	252	66.9	4.5	(58.0-75.7)
Knox County, Tennessee	253	60.1	3.8	(52.6-67.5)
Shelby County, Tennessee	252	61	4.1	(52.9-69.0)
Sullivan County, Tennessee	343	63.5	3.3	(57.0-69.9)
Bexar County, Texas	609	70.5	2.6	(65.4-75.5)
Dallas County, Texas	257	60.8	4.2	(52.5-69.0)
El Paso County, Texas	508	51.5	2.6	(46.4-56.5)
Fort Bend County, Texas	524	60.9	2.6	(55.8-65.9)
Harris County, Texas	823	60.2	2.2	(55.8-64.5)
Hidalgo County, Texas	332	54	3.5	(47.1-60.8)
Lubbock County, Texas	507	64.2	2.7	(58.9-69.4)
Midland County, Texas	367	56.5	3.1	(50.4-62.5)
Potter County, Texas	204	63.4	3.9	(55.7-71.0)
Randall County, Texas	327	68.6	3.2	(62.3-74.8)
Smith County, Texas	451	75.2	2.5	(70.3-80.1)
Tarrant County, Texas	383	69.5	3.2	(63.2-75.7)
Travis County, Texas	441	72.4	4.3	(63.9-80.8)
Val Verde County, Texas	351	39.5	3.8	(32.0-46.9)
Webb County, Texas	418	37.3	3.3	(30.8-43.7)
Wichita County, Texas	479	64.3	2.8	(58.8-69.7)
Davis County, Utah	442	73.1	2.4	(68.3-77.8)
Salt Lake County, Utah	1,806	71.4	1.2	(69.0-73.7)
Summit County, Utah	263	73.1	2.9	(67.4-78.7)
Tooele County, Utah	262	71.4	3.4	(64.7-78.0)
Utah County, Utah	527	68.5	2.4	(63.7-73.2)
Weber County, Utah	446	71.5	2.5	(66.6-76.4)
Chittenden County, Vermont	905	77	1.6	(73.8-80.1)
Franklin County, Vermont	279	71.4	2.9	(65.7-77.0)
Orange County, Vermont	242	68.5	3.4	(61.8-75.1)
Rutland County, Vermont	456	72.3	2.5	(67.4-77.2)
Washington County, Vermont	460	78.4	2.2	(74.0-82.7)
Windsor County, Vermont	471	72.1	2.4	(67.3-76.8)
Benton County, Washington	255	76.4	3.2	(70.1-82.6)
Clark County, Washington	738	73.7	2	(69.7-77.6)
Franklin County, Washington	150	NA	NA	NA
King County, Washington	1,989	71.7	1.2	(69.3-74.0)
Kitsap County, Washington	627	72.9	2	(68.9-76.8)
Pierce County, Washington	1,111	73.5	1.6	(70.3-76.6)
Snohomish County, Washington	1,043	73.2	1.7	(69.8-76.5)
Spokane County, Washington	817	70.8	1.9	(67.0-74.5)
Thurston County, Washington	501	72.2	2.4	(67.4-76.9)
Yakima County, Washington	492	60.6	2.9	(54.9-66.2)
Kanawha County, West Virginia	365	63.6	2.9	(57.9-69.2)
Milwaukee County, Wisconsin	729	63.7	3.1	(57.6-69.7)
Laramie County, Wyoming	610	64.8	2.3	(60.2-69.3)
Natrona County, Wyoming	517	61.6	2.4	(56.8-66.3)
