County	Sample size	%	SE	(95% CI)
Baker County, Florida	509	58.9	4.8	(49.4–68.3)
Bay County, Florida	544	68.8	3.4	(62.1–75.4)
Brevard County, Florida	527	62.6	3.2	(56.3–68.8)
Broward County, Florida	524	64.9	2.9	(59.2–70.5)
Citrus County, Florida	532	59.2	3	(53.3–65.0)
Clay County, Florida	486	71.5	2.7	(66.2–76.7)
Collier County, Florida	520	72.5	3.5	(65.6–79.3)
Columbia County, Florida	563	51.8	3.1	(45.7–57.8)
DeSoto County, Florida	500	47.1	4.2	(38.8–55.3)
Duval County, Florida	548	66.3	2.8	(60.8–71.7)
Escambia County, Florida	519	52	3.4	(45.3–58.6)
Gadsden County, Florida	506	51.6	3.6	(44.5–58.6)
Gilchrist County, Florida	414	NA*	NA	NA
Hardee County, Florida	526	53.8	3.9	(46.1–61.4)
Hernando County, Florida	489	62.2	3	(56.3–68.0)
Highlands County, Florida	520	59.7	3.3	(53.2–66.1)
Hillsborough County, Florida	505	65	3.1	(58.9–71.0)
Jefferson County, Florida	502	53.5	4	(45.6–61.3)
Lake County, Florida	604	68.6	2.6	(63.5–73.6)
Lee County, Florida	517	67.3	3.1	(61.2–73.3)
Leon County, Florida	496	72.5	3.1	(66.4–78.5)
Manatee County, Florida	525	64.2	3.3	(57.7–70.6)
Marion County, Florida	589	57.9	2.9	(52.2–63.5)
Martin County, Florida	521	71.8	2.8	(66.3–77.2)
Miami-Dade County, Florida	504	66.8	3	(60.9–72.6)
Monroe County, Florida	505	71.6	3	(65.7–77.4)
Nassau County, Florida	521	68.1	3.8	(60.6–75.5)
Orange County, Florida	1,004	64.8	2.2	(60.4–69.1)
Osceola County, Florida	567	55.6	3.1	(49.5–61.6)
Palm Beach County, Florida	551	74	3	(68.1–79.8)
Pasco County, Florida	541	63.7	3.3	(57.2–70.1)
Pinellas County, Florida	497	70	3.1	(63.9–76.0)
Polk County, Florida	521	52.5	3.1	(46.4–58.5)
St. Johns County, Florida	521	78.1	2.6	(73.0–83.1)
St. Lucie County, Florida	502	62.4	3	(56.5–68.2)
Santa Rosa County, Florida	493	64.8	3	(58.9–70.6)
Sarasota County, Florida	608	74.4	2.8	(68.9–79.8)
Seminole County, Florida	492	67	3	(61.1–72.8)
Volusia County, Florida	857	65.6	2.6	(60.5–70.6)
Wakulla County, Florida	537	53.7	3.6	(46.6–60.7)
Cobb County, Georgia	253	78.1	3.3	(71.6–84.5)
DeKalb County, Georgia	339	76.9	3.2	(70.6–83.1)
Fulton County, Georgia	329	73.8	3.7	(66.5–81.0)
Gwinnett County, Georgia	251	76.7	3.3	(70.2–83.1)
Hawaii County, Hawaii	1,479	64.8	1.8	(61.2–68.3)
Honolulu County, Hawaii	2,957	74.3	1.2	(71.9–76.6)
Kauai County, Hawaii	645	66.9	2.9	(61.2–72.5)
Maui County, Hawaii	1,461	74.5	1.8	(70.9–78.0)
Ada County, Idaho	866	73.9	2.3	(69.3–78.4)
Bonneville County, Idaho	522	77.6	2.4	(72.8–82.3)
Canyon County, Idaho	618	66	2.6	(60.9–71.0)
Kootenai County, Idaho	569	69.7	2.7	(64.4–74.9)
Nez Perce County, Idaho	381	67.4	3.2	(61.1–73.6)
Twin Falls County, Idaho	432	71.5	2.9	(65.8–77.1)
Cook County, Illinois	2,885	67.7	1.3	(65.1–70.2)
DuPage County, Illinois	256	76.2	3.4	(69.5–82.8)
Allen County, Indiana	584	74.4	2.5	(69.5–79.3)
Lake County, Indiana	996	64.5	2.8	(59.0–69.9)
Marion County, Indiana	1,460	69.4	2	(65.4–73.3)
Linn County, Iowa	493	82.3	2.3	(77.7–86.8)
Polk County, Iowa	766	77.3	2.1	(73.1–81.4)
Johnson County, Kansas	1,413	84.1	1.3	(81.5–86.6)
Sedgwick County, Kansas	1,430	75	1.6	(71.8–78.1)
Shawnee County, Kansas	622	75	2.5	(70.1–79.9)
Wyandotte County, Kansas	599	56.9	3.1	(50.8–62.9)
Jefferson County, Kentucky	409	65.9	3.1	(59.8–71.9)
Caddo Parish, Louisiana	446	59.1	3.3	(52.6–65.5)
East Baton Rouge Parish, Louisiana	720	67.5	2.5	(62.6–72.4)
Jefferson Parish, Louisiana	593	67	2.7	(61.7–72.2)
Orleans Parish, Louisiana	373	60.6	3.5	(53.7–67.4)
St. Tammany Parish, Louisiana	370	67.2	3.7	(59.9–74.4)
Androscoggin County, Maine	501	61.9	2.9	(56.2–67.5)
Cumberland County, Maine	1,387	76.9	1.8	(73.3–80.4)
Kennebec County, Maine	651	65.9	2.6	(60.8–70.9)
Penobscot County, Maine	690	67.6	2.4	(62.8–72.3)
Sagadahoc County, Maine	298	68.2	3.3	(61.7–74.6)
York County, Maine	941	72.4	1.9	(68.6–76.1)
Anne Arundel County, Maryland	600	78.9	2.4	(74.1–83.6)
Baltimore County, Maryland	1,048	75.9	1.7	(72.5–79.2)
Cecil County, Maryland	267	73.3	3.3	(66.8–79.7)
Charles County, Maryland	347	75.5	3.2	(69.2–81.7)
Frederick County, Maryland	577	79.1	2.2	(74.7–83.4)
Harford County, Maryland	279	77.1	3.2	(70.8–83.3)
Howard County, Maryland	340	84.7	2.6	(79.6–89.7)
Montgomery County, Maryland	1,063	82.2	1.6	(79.0–85.3)
Prince George´s County, Maryland	791	73.2	2.2	(68.8–77.5)
Queen Anne´s County, Maryland	295	75.3	3.7	(68.0–82.5)
Washington County, Maryland	404	66.9	3.3	(60.4–73.3)
Baltimore city, Maryland	528	62.5	3.1	(56.4–68.5)
Bristol County, Massachusetts	2,910	79.7	1.4	(76.9–82.4)
Essex County, Massachusetts	2,131	82.1	1.8	(78.5–85.6)
Hampden County, Massachusetts	1,587	79.8	2.2	(75.4–84.1)
Hampshire County, Massachusetts	274	81	3.8	(73.5–88.4)
Middlesex County, Massachusetts	3,015	81.8	1.5	(78.8–84.7)
Norfolk County, Massachusetts	857	83.2	1.9	(79.4–86.9)
Plymouth County, Massachusetts	682	83.7	2.1	(79.5–87.8)
Suffolk County, Massachusetts	1,754	81.2	1.6	(78.0–84.3)
Worcester County, Massachusetts	2,094	80.4	1.6	(77.2–83.5)
Kent County, Michigan	445	73.7	3	(67.8–79.5)
Macomb County, Michigan	515	81.2	2.2	(76.8–85.5)
Oakland County, Michigan	934	80.8	1.9	(77.0–84.5)
Wayne County, Michigan	1,906	67.6	1.8	(64.0–71.1)
Anoka County, Minnesota	397	82.2	2.7	(76.9–87.4)
Dakota County, Minnesota	570	84.4	2.3	(79.8–88.9)
Hennepin County, Minnesota	2,047	79.6	1.8	(76.0–83.1)
Ramsey County, Minnesota	914	78.9	3.1	(72.8–84.9)
Washington County, Minnesota	258	87.4	2.6	(82.3–92.4)
DeSoto County, Mississippi	368	68.8	3.6	(61.7–75.8)
Hinds County, Mississippi	334	60.2	3.8	(52.7–67.6)
Jackson County, Missouri	526	66.1	2.8	(60.6–71.5)
St. Louis County, Missouri	604	71.7	3	(65.8–77.5)
St. Louis city, Missouri	646	62.4	3.2	(56.1–68.6)
Flathead County, Montana	698	54.3	2.5	(49.4–59.2)
Lewis and Clark County, Montana	532	72.1	2.6	(67.0–77.1)
Yellowstone County, Montana	485	66.6	2.9	(60.9–72.2)
Adams County, Nebraska	475	73	2.8	(67.5–78.4)
Dakota County, Nebraska	739	63.1	2.4	(58.3–67.8)
Douglas County, Nebraska	951	72.3	2.1	(68.1–76.4)
Hall County, Nebraska	587	65	3	(59.1–70.8)
Lancaster County, Nebraska	848	74.7	2.5	(69.8–79.6)
Lincoln County, Nebraska	543	67.5	2.9	(61.8–73.1)
Madison County, Nebraska	466	67.4	3.3	(60.9–73.8)
Sarpy County, Nebraska	577	72.8	2.9	(67.1–78.4)
Scotts Bluff County, Nebraska	736	59.8	2.7	(54.5–65.0)
Seward County, Nebraska	284	71.5	3.5	(64.6–78.3)
Clark County, Nevada	1,263	67.2	1.8	(63.6–70.7)
Washoe County, Nevada	1,305	72.3	1.6	(69.1–75.4)
Grafton County, New Hampshire	516	71.5	3	(65.6–77.3)
Hillsborough County, New Hampshire	1,414	78.3	1.6	(75.1–81.4)
Merrimack County, New Hampshire	640	80	2.3	(75.4–84.5)
Rockingham County, New Hampshire	1,020	81.7	1.6	(78.5–84.8)
Strafford County, New Hampshire	586	70.9	2.7	(65.6–76.1)
Atlantic County, New Jersey	916	71.4	2.1	(67.2–75.5)
Bergen County, New Jersey	623	81.8	2	(77.8–85.7)
Burlington County, New Jersey	566	77.4	2.3	(72.8–81.9)
Camden County, New Jersey	602	70.1	2.8	(64.6–75.5)
Cape May County, New Jersey	516	77.9	2.5	(73.0–82.8)
Essex County, New Jersey	1,021	76.2	1.7	(72.8–79.5)
Gloucester County, New Jersey	526	76.4	2.5	(71.5–81.3)
Hudson County, New Jersey	1,089	69.1	1.9	(65.3–72.8)
Hunterdon County, New Jersey	515	85.7	2.1	(81.5–89.8)
Mercer County, New Jersey	500	80.2	2.6	(75.1–85.2)
Middlesex County, New Jersey	631	78.4	2.2	(74.0–82.7)
Monmouth County, New Jersey	560	81	2.2	(76.6–85.3)
Morris County, New Jersey	702	81.6	2.1	(77.4–85.7)
Ocean County, New Jersey	530	72.4	2.6	(67.3–77.4)
Passaic County, New Jersey	502	72.7	2.7	(67.4–77.9)
Somerset County, New Jersey	536	85.5	2	(81.5–89.4)
Sussex County, New Jersey	498	82.1	2.1	(77.9–86.2)
Union County, New Jersey	519	75.4	2.6	(70.3–80.4)
Warren County, New Jersey	477	77.4	2.5	(72.5–82.3)
Bernalillo County, New Mexico	1,262	72.8	1.9	(69.0–76.5)
				
TABLE 9. (Continued) Estimated prevalence of adults aged =18 years who have had a dental visit during the preceding 12 months, by county — Behavioral Risk Factor Surveillance System, United States, 2010				
County	Sample size	%	SE	(95% CI)
Dona Ana County, New Mexico	499	67	3.4	(60.3–73.6)
Sandoval County, New Mexico	520	66	3.3	(59.5–72.4)
San Juan County, New Mexico	681	64.7	2.8	(59.2–70.1)
Santa Fe County, New Mexico	609	69.2	2.9	(63.5–74.8)
Valencia County, New Mexico	350	61.1	3.8	(53.6–68.5)
Bronx County, New York	433	67.7	3	(61.8–73.5)
Erie County, New York	477	81.1	2.3	(76.5–85.6)
Kings County, New York	906	70.5	2	(66.5–74.4)
Monroe County, New York	382	73	3.4	(66.3–79.6)
Nassau County, New York	478	76.1	2.6	(71.0–81.1)
New York County, New York	1,040	77.4	2.1	(73.2–81.5)
Queens County, New York	798	71.9	2.1	(67.7–76.0)
Suffolk County, New York	593	73.5	2.6	(68.4–78.5)
Westchester County, New York	384	77.8	3	(71.9–83.6)
Buncombe County, North Carolina	263	63.7	3.9	(56.0–71.3)
Cabarrus County, North Carolina	304	62.5	3.8	(55.0–69.9)
Catawba County, North Carolina	293	70.6	3.4	(63.9–77.2)
Durham County, North Carolina	620	72.5	2.6	(67.4–77.5)
Gaston County, North Carolina	265	64.8	4.2	(56.5–73.0)
Guilford County, North Carolina	693	76.6	2.2	(72.2–80.9)
Johnston County, North Carolina	275	72.2	3.2	(65.9–78.4)
Mecklenburg County, North Carolina	606	78.1	2.4	(73.3–82.8)
Orange County, North Carolina	297	70.5	4	(62.6–78.3)
Randolph County, North Carolina	395	65.5	3.4	(58.8–72.1)
Union County, North Carolina	346	69.4	3.6	(62.3–76.4)
Wake County, North Carolina	712	77.6	2.4	(72.8–82.3)
Burleigh County, North Dakota	560	78.3	2.5	(73.4–83.2)
Cass County, North Dakota	779	83.9	1.9	(80.1–87.6)
Ward County, North Dakota	464	77.2	2.4	(72.4–81.9)
Cuyahoga County, Ohio	721	73.6	2.3	(69.0–78.1)
Franklin County, Ohio	679	75.4	2.3	(70.8–79.9)
Hamilton County, Ohio	725	75.5	2.4	(70.7–80.2)
Lucas County, Ohio	725	74.3	2.3	(69.7–78.8)
Mahoning County, Ohio	727	73	2.4	(68.2–77.7)
Montgomery County, Ohio	702	74.8	2.3	(70.2–79.3)
Stark County, Ohio	714	67.8	2.5	(62.9–72.7)
Summit County, Ohio	703	73.6	2.5	(68.7–78.5)
Cleveland County, Oklahoma	431	70.6	2.8	(65.1–76.0)
Oklahoma County, Oklahoma	1,433	57.3	1.8	(53.7–60.8)
Tulsa County, Oklahoma	1,520	58.7	1.7	(55.3–62.0)
Clackamas County, Oregon	450	76.7	2.7	(71.4–81.9)
Lane County, Oregon	508	67.2	3.3	(60.7–73.6)
Multnomah County, Oregon	812	76.8	2.2	(72.4–81.1)
Washington County, Oregon	584	77.4	2.3	(72.8–81.9)
Allegheny County, Pennsylvania	1,379	75.6	1.6	(72.4–78.7)
Lehigh County, Pennsylvania	282	75	3	(69.1–80.8)
Luzerne County, Pennsylvania	310	65.5	3.9	(57.8–73.1)
Montgomery County, Pennsylvania	347	80.3	3	(74.4–86.1)
Northampton County, Pennsylvania	260	75.5	4.3	(67.0–83.9)
Philadelphia County, Pennsylvania	1,402	62.2	1.9	(58.4–65.9)
Westmoreland County, Pennsylvania	336	73.4	3.2	(67.1–79.6)
Bristol County, Rhode Island	278	86.3	2.6	(81.2–91.3)
Kent County, Rhode Island	938	76.5	1.9	(72.7–80.2)
Newport County, Rhode Island	488	83.5	2.4	(78.7–88.2)
Providence County, Rhode Island	4,127	77.5	1	(75.5–79.4)
Washington County, Rhode Island	746	78.7	2.5	(73.8–83.6)
Aiken County, South Carolina	469	71.7	2.7	(66.4–76.9)
Beaufort County, South Carolina	679	76	2.5	(71.1–80.9)
Berkeley County, South Carolina	355	NA	NA	NA
Charleston County, South Carolina	666	73.1	3.1	(67.0–79.1)
Greenville County, South Carolina	493	70.2	3.4	(63.5–76.8)
Horry County, South Carolina	551	62.4	3	(56.5–68.2)
Richland County, South Carolina	662	63.2	3.8	(55.7–70.6)
Minnehaha County, South Dakota	604	81.2	2	(77.2–85.1)
Pennington County, South Dakota	667	74.1	2.3	(69.5–78.6)
Davidson County, Tennessee	418	68.1	3.6	(61.0–75.1)
Hamilton County, Tennessee	384	71.8	3.3	(65.3–78.2)
Knox County, Tennessee	366	74.3	3.2	(68.0–80.5)
Shelby County, Tennessee	393	72	3.5	(65.1–78.8)
Sullivan County, Tennessee	457	72.8	2.9	(67.1–78.4)
Bexar County, Texas	965	69.4	2.2	(65.0–73.7)
Dallas County, Texas	392	54.7	3.8	(47.2–62.1)
El Paso County, Texas	869	55.9	2.4	(51.1–60.6)
Fort Bend County, Texas	923	73.8	2.1	(69.6–77.9)
Harris County, Texas	1,452	64	1.9	(60.2–67.7)
Hidalgo County, Texas	594	48.2	2.8	(42.7–53.6)
Lubbock County, Texas	756	59.9	2.9	(54.2–65.5)
Midland County, Texas	522	66.8	2.9	(61.1–72.4)
Potter County, Texas	336	55.9	3.7	(48.6–63.1)
Randall County, Texas	459	70.7	3.3	(64.2–77.1)
Smith County, Texas	670	67.4	2.9	(61.7–73.0)
Tarrant County, Texas	599	64.2	3.1	(58.1–70.2)
Travis County, Texas	757	72.7	4.1	(64.6–80.7)
Val Verde County, Texas	553	56.4	5.1	(46.4–66.3)
Webb County, Texas	921	51.9	2.2	(47.5–56.2)
Wichita County, Texas	678	62.7	3.1	(56.6–68.7)
Davis County, Utah	876	75.4	2.2	(71.0–79.7)
Salt Lake County, Utah	3,278	72.4	1.1	(70.2–74.5)
Summit County, Utah	453	79.1	2.9	(73.4–84.7)
Tooele County, Utah	567	73.6	2.5	(68.7–78.5)
Utah County, Utah	1,110	77.4	1.8	(73.8–80.9)
Weber County, Utah	774	74.6	2.1	(70.4–78.7)
Chittenden County, Vermont	1,430	84.3	1.3	(81.7–86.8)
Franklin County, Vermont	483	75.6	2.3	(71.0–80.1)
Orange County, Vermont	358	69.4	3	(63.5–75.2)
Rutland County, Vermont	657	73	2.4	(68.2–77.7)
Washington County, Vermont	668	80.7	1.9	(76.9–84.4)
Windsor County, Vermont	680	71.6	2.3	(67.0–76.1)
Benton County, Washington	389	74.2	2.8	(68.7–79.6)
Clark County, Washington	1,094	70.4	2.2	(66.0–74.7)
Franklin County, Washington	254	63.6	4.7	(54.3–72.8)
King County, Washington	3,032	77.8	1.1	(75.6–79.9)
Kitsap County, Washington	923	73.6	2	(69.6–77.5)
Pierce County, Washington	1,719	73	1.4	(70.2–75.7)
Snohomish County, Washington	1,652	72.1	1.5	(69.1–75.0)
Spokane County, Washington	1,215	72.2	1.9	(68.4–75.9)
Thurston County, Washington	775	72.4	2.3	(67.8–76.9)
Yakima County, Washington	739	69.3	2.4	(64.5–74.0)
Kanawha County, West Virginia	480	68.7	3.1	(62.6–74.7)
Milwaukee County, Wisconsin	1,215	74.4	2.7	(69.1–79.6)
Laramie County, Wyoming	910	72.5	2	(68.5–76.4)
Natrona County, Wyoming	765	68.8	2.3	(64.2–73.3)
