County	Sample size	%	SE	(95% CI)
Jefferson Parish, Louisiana	190	16.3	3.3	(9.8–22.7)
Orleans Parish, Louisiana	122	19.2	4	(11.3–27.0)
St. Tammany Parish, Louisiana	95	16.2	3.8	(8.7–23.6)
Androscoggin County, Maine	157	25.2	4.1	(17.1–33.2)
Cumberland County, Maine	442	12.5	1.6	(9.3–15.6)
Kennebec County, Maine	195	18.5	3	(12.6–24.3)
Penobscot County, Maine	187	27.8	3.5	(20.9–34.6)
Sagadahoc County, Maine	87	20.7	4.8	(11.2–30.1)
York County, Maine	303	21.5	2.6	(16.4–26.5)
Anne Arundel County, Maryland	150	11	2.8	(5.5–16.4)
Baltimore County, Maryland	289	14.6	2.3	(10.0–19.1)
Cecil County, Maryland	65	NA	NA	NA
Charles County, Maryland	67	NA	NA	NA
Frederick County, Maryland	126	9.8	2.6	(4.7–14.8)
Harford County, Maryland	61	10.1	4.5	(1.2–18.9)
Howard County, Maryland	69	NA	NA	NA
Montgomery County, Maryland	271	4.3	1.3	(1.7–6.8)
Prince George´s County, Maryland	182	15.6	3	(9.7–21.4)
Queen Anne´s County, Maryland	82	9.7	3.2	(3.4–15.9)
Washington County, Maryland	124	20.3	3.9	(12.6–27.9)
Baltimore city, Maryland	139	18.9	4.2	(10.6–27.1)
Bristol County, Massachusetts	851	25	2.8	(19.5–30.4)
Essex County, Massachusetts	603	12.8	1.9	(9.0–16.5)
Hampden County, Massachusetts	464	16.9	2.9	(11.2–22.5)
Hampshire County, Massachusetts	74	14.9	5	(5.1–24.7)
Middlesex County, Massachusetts	742	9.8	1.4	(7.0–12.5)
Norfolk County, Massachusetts	259	10.8	1.9	(7.0–14.5)
Plymouth County, Massachusetts	203	15.4	3.2	(9.1–21.6)
Suffolk County, Massachusetts	451	16.2	2	(12.2–20.1)
Worcester County, Massachusetts	553	20.6	2.5	(15.7–25.5)
Kent County, Michigan	143	8.7	2.3	(4.1–13.2)
Macomb County, Michigan	191	10.8	2.4	(6.0–15.5)
Oakland County, Michigan	327	5.5	1.3	(2.9–8.0)
Wayne County, Michigan	660	18.5	1.9	(14.7–22.2)
Anoka County, Minnesota	80	8.6	3.3	(2.1–15.0)
Dakota County, Minnesota	100	5.2	2.3	(0.6–9.7)
Hennepin County, Minnesota	467	5.6	1.4	(2.8–8.3)
Ramsey County, Minnesota	229	9.7	3	(3.8–15.5)
Washington County, Minnesota	62	NA	NA	NA
DeSoto County, Mississippi	147	20.7	3.9	(13.0–28.3)
Hinds County, Mississippi	115	29.1	4.9	(19.4–38.7)
Jackson County, Missouri	180	15.7	3.1	(9.6–21.7)
St. Louis County, Missouri	211	12.8	2.9	(7.1–18.4)
St. Louis city, Missouri	192	NA	NA	NA
Flathead County, Montana	217	13.8	2.5	(8.9–18.7)
Lewis and Clark County, Montana	181	18.6	3.2	(12.3–24.8)
Yellowstone County, Montana	193	12.1	2.6	(7.0–17.1)
Adams County, Nebraska	174	16.9	3.1	(10.8–22.9)
Dakota County, Nebraska	243	28.5	3.2	(22.2–34.7)
Douglas County, Nebraska	266	14	2.4	(9.2–18.7)
Hall County, Nebraska	227	13.5	2.5	(8.6–18.4)
Lancaster County, Nebraska	278	11.1	2.1	(6.9–15.2)
Lincoln County, Nebraska	204	14.2	2.5	(9.3–19.1)
Madison County, Nebraska	170	20.4	3.3	(13.9–26.8)
Sarpy County, Nebraska	151	11.1	3	(5.2–16.9)
Scotts Bluff County, Nebraska	319	23	4.7	(13.7–32.2)
Seward County, Nebraska	103	8.3	2.5	(3.4–13.2)
Clark County, Nevada	410	16.3	2	(12.3–20.2)
Washoe County, Nevada	386	16.2	2.2	(11.8–20.5)
Grafton County, New Hampshire	167	18.8	3.4	(12.1–25.4)
Hillsborough County, New Hampshire	410	19.9	2.1	(15.7–24.0)
Merrimack County, New Hampshire	206	15.9	2.8	(10.4–21.3)
Rockingham County, New Hampshire	272	14.3	2.3	(9.7–18.8)
Strafford County, New Hampshire	172	17.5	3.4	(10.8–24.1)
Atlantic County, New Jersey	262	17.5	2.6	(12.4–22.5)
Bergen County, New Jersey	179	8.3	2.2	(3.9–12.6)
Burlington County, New Jersey	167	11.7	3.1	(5.6–17.7)
Camden County, New Jersey	159	18.1	3.2	(11.8–24.3)
Cape May County, New Jersey	191	16.7	3.2	(10.4–22.9)
Essex County, New Jersey	254	19.4	3.1	(13.3–25.4)
Gloucester County, New Jersey	143	13.8	3.4	(7.1–20.4)
Hudson County, New Jersey	231	17.2	2.8	(11.7–22.6)
Hunterdon County, New Jersey	114	5.7	2.4	(0.9–10.4)
Mercer County, New Jersey	128	15.2	3.8	(7.7–22.6)
Middlesex County, New Jersey	154	13.8	3.2	(7.5–20.0)
Monmouth County, New Jersey	145	11.1	3	(5.2–16.9)
Morris County, New Jersey	163	7.7	2.6	(2.6–12.7)
Ocean County, New Jersey	204	13.9	2.6	(8.8–18.9)
Passaic County, New Jersey	144	16.2	3.6	(9.1–23.2)
Somerset County, New Jersey	132	8	2.6	(2.9–13.0)
Sussex County, New Jersey	108	15.8	3.8	(8.3–23.2)
Union County, New Jersey	126	9.7	2.9	(4.0–15.3)
Warren County, New Jersey	152	21.4	3.8	(13.9–28.8)
Bernalillo County, New Mexico	409	14.2	2	(10.2–18.1)
Dona Ana County, New Mexico	200	12.6	2.6	(7.5–17.6)
Sandoval County, New Mexico	152	11.7	2.7	(6.4–16.9)
San Juan County, New Mexico	195	22.5	3.5	(15.6–29.3)
Santa Fe County, New Mexico	193	13.1	2.7	(7.8–18.3)
Valencia County, New Mexico	109	23.7	4.6	(14.6–32.7)
Bronx County, New York	114	16.1	3.9	(8.4–23.7)
Erie County, New York	175	19.5	3.4	(12.8–26.1)
Kings County, New York	230	10.8	2.1	(6.6–14.9)
Monroe County, New York	146	11.7	3.1	(5.6–17.7)
Nassau County, New York	167	4.8	1.6	(1.6–7.9)
New York County, New York	325	14.6	2.6	(9.5–19.6)
Queens County, New York	234	14.8	2.5	(9.9–19.7)
Suffolk County, New York	202	11.7	2.4	(6.9–16.4)
Westchester County, New York	117	4.3	2	(0.3–8.2)
Buncombe County, North Carolina	102	20.5	4.1	(12.4–28.5)
Cabarrus County, North Carolina	101	25	4.8	(15.5–34.4)
Catawba County, North Carolina	96	17.6	3.9	(9.9–25.2)
Durham County, North Carolina	166	16.2	3.4	(9.5–22.8)
Gaston County, North Carolina	84	NA	NA	NA
Guilford County, North Carolina	224	16.2	2.6	(11.1–21.2)
Johnston County, North Carolina	68	NA	NA	NA
Mecklenburg County, North Carolina	179	9	2.4	(4.2–13.7)
Orange County, North Carolina	74	8.4	3.3	(1.9–14.8)
Randolph County, North Carolina	147	32.6	4.4	(23.9–41.2)
Union County, North Carolina	95	NA	NA	NA
Wake County, North Carolina	162	11.6	2.7	(6.3–16.8)
Burleigh County, North Dakota	167	20	3.2	(13.7–26.2)
Cass County, North Dakota	226	10.3	2.1	(6.1–14.4)
Ward County, North Dakota	136	19.3	3.5	(12.4–26.1)
Cuyahoga County, Ohio	215	19	3.1	(12.9–25.0)
Franklin County, Ohio	170	21	3.7	(13.7–28.2)
Hamilton County, Ohio	217	16	2.7	(10.7–21.2)
Lucas County, Ohio	209	17.3	2.9	(11.6–22.9)
Mahoning County, Ohio	246	21.4	3.8	(13.9–28.8)
Montgomery County, Ohio	254	18	2.6	(12.9–23.0)
Stark County, Ohio	225	22.4	3.1	(16.3–28.4)
Summit County, Ohio	231	19.9	3	(14.0–25.7)
Cleveland County, Oklahoma	126	14.7	3.9	(7.0–22.3)
Oklahoma County, Oklahoma	465	21.2	2.2	(16.8–25.5)
Tulsa County, Oklahoma	505	21.6	2.1	(17.4–25.7)
Clackamas County, Oregon	145	13.7	3.1	(7.6–19.7)
Lane County, Oregon	180	10.9	2.5	(6.0–15.8)
Multnomah County, Oregon	260	16.8	2.4	(12.0–21.5)
Washington County, Oregon	184	7.3	1.9	(3.5–11.0)
Allegheny County, Pennsylvania	497	15	1.7	(11.6–18.3)
Lehigh County, Pennsylvania	80	10.4	3.2	(4.1–16.6)
Luzerne County, Pennsylvania	118	22.9	4.1	(14.8–30.9)
Montgomery County, Pennsylvania	112	4.8	1.9	(1.0–8.5)
Northampton County, Pennsylvania	98	18.4	4.3	(9.9–26.8)
Philadelphia County, Pennsylvania	450	22.3	2.2	(17.9–26.6)
Westmoreland County, Pennsylvania	125	24.8	4.3	(16.3–33.2)
Bristol County, Rhode Island	86	11.4	3.7	(4.1–18.6)
Kent County, Rhode Island	299	14.7	2.1	(10.5–18.8)
Newport County, Rhode Island	169	8.6	2.1	(4.4–12.7)
Providence County, Rhode Island	1,287	19.2	1.2	(16.8–21.5)
Washington County, Rhode Island	259	13	2.4	(8.2–17.7)
Aiken County, South Carolina	183	17.9	3.1	(11.8–23.9)
Beaufort County, South Carolina	305	8.8	2	(4.8–12.7)
Berkeley County, South Carolina	111	NA	NA	NA
Charleston County, South Carolina	245	8.7	2.4	(3.9–13.4)
Greenville County, South Carolina	191	17.5	3.4	(10.8–24.1)
Horry County, South Carolina	211	16.7	3	(10.8–22.5)
Richland County, South Carolina	207	11.6	2.3	(7.0–16.1)
Minnehaha County, South Dakota	194	21.3	3.1	(15.2–27.3)
Pennington County, South Dakota	218	22	3.1	(15.9–28.0)
Davidson County, Tennessee	144	24.8	4.8	(15.3–34.2)
Hamilton County, Tennessee	137	33.1	4.9	(23.4–42.7)
Knox County, Tennessee	125	NA	NA	NA
Shelby County, Tennessee	134	23.5	4.1	(15.4–31.5)
Sullivan County, Tennessee	214	39.3	4	(31.4–47.1)
Bexar County, Texas	354	12.4	2.1	(8.2–16.5)
Dallas County, Texas	144	11.2	2.8	(5.7–16.6)
El Paso County, Texas	247	12.1	2.4	(7.3–16.8)
Fort Bend County, Texas	204	11.8	2.9	(6.1–17.4)
Harris County, Texas	393	9.3	1.6	(6.1–12.4)
Hidalgo County, Texas	183	11.6	2.7	(6.3–16.8)
Lubbock County, Texas	296	17.4	2.5	(12.5–22.3)
Midland County, Texas	208	15.3	2.8	(9.8–20.7)
Potter County, Texas	108	16.1	3.6	(9.0–23.1)
Randall County, Texas	175	9.6	2.4	(4.8–14.3)
Smith County, Texas	257	13.2	2.4	(8.4–17.9)
Tarrant County, Texas	196	14.6	2.9	(8.9–20.2)
Travis County, Texas	186	8.1	3.2	(1.8–14.3)
Val Verde County, Texas	191	15.2	3	(9.3–21.0)
Webb County, Texas	208	11.4	2.6	(6.3–16.4)
Wichita County, Texas	288	16	2.3	(11.4–20.5)
Davis County, Utah	199	9.3	2.1	(5.1–13.4)
Salt Lake County, Utah	784	14.2	1.4	(11.4–16.9)
Summit County, Utah	89	11.3	3.7	(4.0–18.5)
Tooele County, Utah	115	14.6	3.5	(7.7–21.4)
Utah County, Utah	240	8.7	2	(4.7–12.6)
Weber County, Utah	215	13	2.6	(7.9–18.0)
Chittenden County, Vermont	366	13.1	1.9	(9.3–16.8)
Franklin County, Vermont	114	25.4	4.4	(16.7–34.0)
Orange County, Vermont	94	18.9	4.4	(10.2–27.5)
Rutland County, Vermont	229	16.9	2.8	(11.4–22.3)
Washington County, Vermont	230	20.4	3	(14.5–26.2)
Windsor County, Vermont	244	16.3	2.5	(11.4–21.2)
Benton County, Washington	122	13.9	3.7	(6.6–21.1)
Clark County, Washington	316	13.4	2	(9.4–17.3)
Franklin County, Washington	55	NA	NA	NA
King County, Washington	909	7.6	0.9	(5.8–9.3)
Kitsap County, Washington	281	9.5	1.9	(5.7–13.2)
Pierce County, Washington	549	12.8	1.5	(9.8–15.7)
Snohomish County, Washington	437	12.7	1.7	(9.3–16.0)
Spokane County, Washington	394	11.8	1.7	(8.4–15.1)
Thurston County, Washington	212	9.1	2.2	(4.7–13.4)
Yakima County, Washington	245	14.2	2.3	(9.6–18.7)
Kanawha County, West Virginia	188	31.7	3.7	(24.4–38.9)
Milwaukee County, Wisconsin	320	19	3.3	(12.5–25.4)
Laramie County, Wyoming	312	20.5	2.5	(15.6–25.4)
Natrona County, Wyoming	229	21.1	3.1	(15.0–27.1)
